000940|上海|宝山区|
006245|河北|河间|
010000|内蒙|呼和浩特|
010010|内蒙|呼和浩特|
010011|内蒙|呼和浩特|
010020|内蒙|呼和浩特|
010030|内蒙|呼和浩特|
010031|内蒙|呼和浩特|
010050|内蒙|呼和浩特|
010051|内蒙|呼和浩特|
010070|内蒙|呼和浩特|
010071|内蒙|呼和浩特|
010072|内蒙|呼和浩特|
010073|内蒙|呼和浩特|
010074|内蒙|呼和浩特|
010075|内蒙|呼和浩特|
010076|内蒙|呼和浩特|
010100|内蒙|呼和浩特|
010105|内蒙|呼和浩特|
010106|内蒙|呼和浩特|
010107|内蒙|呼和浩特|
010108|内蒙|呼和浩特|
010109|内蒙|呼和浩特|
010111|内蒙|呼和浩特|
010112|内蒙|呼和浩特|
010113|内蒙|呼和浩特|
010114|内蒙|呼和浩特|
010115|内蒙|呼和浩特|
010200|内蒙|呼和浩特|
010205|内蒙|呼和浩特|
010206|内蒙|呼和浩特|
010207|内蒙|呼和浩特|
010208|内蒙|呼和浩特|
010209|内蒙|呼和浩特|
010211|内蒙|托克托县|
010300|内蒙|内蒙古|
010400|内蒙|内蒙古|
011100|内蒙|内蒙古|
011200|内蒙|锡林郭勒盟 苏尼特|
011207|内蒙|苏尼特右旗|
011209|内蒙|苏尼特右旗|
011211|内蒙|苏尼特右旗|
011212|内蒙|苏尼特右旗|
011213|内蒙|苏尼特右旗|
011214|内蒙|锡林郭勒盟 苏尼特|
011215|内蒙|苏尼特右旗|
011216|内蒙|苏尼特右旗|
011217|内蒙|苏尼特右旗|
011218|内蒙|苏尼特右旗|
011219|内蒙|锡林郭勒盟 苏尼特|
011221|内蒙|苏尼特右旗|
011222|内蒙|苏尼特右旗|
011223|内蒙|苏尼特右旗|
011224|内蒙|苏尼特右旗|
011225|内蒙|苏尼特右旗|
011300|内蒙|锡林郭勒盟 苏尼特|
011350|内蒙|苏尼特左旗|
011355|内蒙|苏尼特左旗|
011356|内蒙|苏尼特左旗|
011357|内蒙|苏尼特左旗|
011358|内蒙|苏尼特左旗|
011359|内蒙|苏尼特左旗|
011361|内蒙|苏尼特左旗|
011362|内蒙|苏尼特左旗|
011363|内蒙|苏尼特左旗|
011364|内蒙|锡林郭勒盟 苏尼特|
011365|内蒙|锡林郭勒盟 苏尼特|
011366|内蒙|苏尼特左旗|
011367|内蒙|苏尼特左旗|
011368|内蒙|锡林郭勒盟 苏尼特|
011369|内蒙|苏尼特左旗|
011400|内蒙|锡林郭勒盟 阿巴嘎|
011406|内蒙|阿巴嘎旗|
011407|内蒙|阿巴嘎旗|
011408|内蒙|锡林郭勒盟 阿巴嘎|
011409|内蒙|阿巴嘎旗|
011411|内蒙|阿巴嘎旗|
011412|内蒙|阿巴嘎旗|
011413|内蒙|锡林郭勒盟 阿巴嘎|
011414|内蒙|锡林郭勒盟 阿巴嘎|
011416|内蒙|阿巴嘎旗|
011417|内蒙|阿巴嘎旗|
011418|内蒙|锡林郭勒盟 阿巴嘎|
011419|内蒙|锡林郭勒盟 阿巴嘎|
011500|内蒙|呼和浩特|
011505|内蒙|呼和浩特|
011506|内蒙|和林格尔县|
011507|内蒙|呼和浩特|
011508|内蒙|呼和浩特|
011509|内蒙|和林格尔县|
011511|内蒙|呼和浩特|
011512|内蒙|和林格尔县|
011513|内蒙|呼和浩特|
011514|内蒙|呼和浩特|
011515|内蒙|呼和浩特|
011516|内蒙|和林格尔县|
011517|内蒙|呼和浩特|
011518|内蒙|呼和浩特|
011600|内蒙|呼和浩特|
011605|内蒙|清水河县|
011606|内蒙|清水河县|
011607|内蒙|清水河县|
011608|内蒙|清水河县|
011609|内蒙|呼和浩特|
011611|内蒙|清水河县|
011612|内蒙|呼和浩特|
011613|内蒙|清水河县|
011614|内蒙|清水河县|
011615|内蒙|清水河县|
011616|内蒙|呼和浩特|
011617|内蒙|清水河县|
011618|内蒙|呼和浩特|
011619|内蒙|呼和浩特|
011621|内蒙|清水河县|
011700|内蒙|呼和浩特|
011705|内蒙|呼和浩特|
011706|内蒙|呼和浩特|
011707|内蒙|武川县|
011708|内蒙|武川县|
011709|内蒙|呼和浩特|
011711|内蒙|呼和浩特|
011712|内蒙|呼和浩特|
011713|内蒙|武川县|
011714|内蒙|呼和浩特|
011715|内蒙|武川县|
011716|内蒙|武川县|
011717|内蒙|武川县|
011718|内蒙|武川县|
011719|内蒙|武川县|
011800|内蒙|乌兰察布|
011805|内蒙|四子王旗|
011806|内蒙|四子王旗|
011807|内蒙|乌兰察布|
011808|内蒙|乌兰察布|
011809|内蒙|乌兰察布|
011811|内蒙|乌兰察布|
011812|内蒙|四子王旗|
011813|内蒙|乌兰察布|
011814|内蒙|四子王旗|
011815|内蒙|乌兰察布|
011816|内蒙|四子王旗|
011817|内蒙|乌兰察布|
011818|内蒙|乌兰察布|
011819|内蒙|乌兰察布|
011821|内蒙|乌兰察布|
011822|内蒙|四子王旗|
011823|内蒙|乌兰察布|
011824|内蒙|乌兰察布|
